"","ublmass","dblmass","totmass","mass_data.YrMo"
"1",NA,NA,NA,2010-01-01
"2",NA,NA,NA,2010-02-01
"3",NA,NA,NA,2010-03-01
"4",26270854.2265874,3184029.77716652,29454884.0037539,2010-04-01
"5",27368897.2231041,3616175.48329988,30985072.706404,2010-05-01
"6",26382361.6165645,3532054.60530564,29914416.2218702,2010-06-01
"7",29962799.229939,4004719.26901008,33967518.4989491,2010-07-01
"8",33212583.1288867,3041089.41724958,36253672.5461362,2010-08-01
"9",30679595.8793544,1895712.96548927,32575308.8448437,2010-09-01
"10",32381552.3879809,2327939.97920254,34709492.3671834,2010-10-01
"11",NA,NA,NA,2010-11-01
"12",25854324.7263265,2562150.05454845,28416474.780875,2010-12-01
"13",NA,NA,NA,2011-01-01
"14",26812549.6268599,3855623.1625864,30668172.7894463,2011-02-01
"15",27013004.3056348,4580190.54104284,31593194.8466777,2011-03-01
"16",NA,NA,NA,2011-04-01
"17",28372513.7080698,4276631.08818843,32649144.7962582,2011-05-01
"18",27631715.348191,7188581.10942351,34820296.4576145,2011-06-01
"19",25039613.4820741,7089940.91024748,32129554.3923216,2011-07-01
"20",NA,NA,NA,2011-08-01
"21",24272782.671392,9049018.90958858,33321801.5809805,2011-09-01
"22",26242343.2820845,9152111.72939737,35394455.0114818,2011-10-01
"23",25267224.2953782,9318621.33715864,34585845.6325368,2011-11-01
"24",NA,NA,NA,2011-12-01
"25",16356692.6962911,7748530.74733285,24105223.4436239,2012-01-01
"26",19343898.9790994,5219809.07967482,24563708.0587742,2012-02-01
"27",22385727.1599262,9599299.711279,31985026.8712052,2012-03-01
"28",21537214.8364223,8926124.39597225,30463339.2323946,2012-04-01
"29",25107829.3017356,9416231.94232005,34524061.2440557,2012-05-01
"30",25092899.0229766,8569422.12577383,33662321.1487505,2012-06-01
"31",26978098.384774,6104759.82729438,33082858.2120684,2012-07-01
"32",27267238.7499543,6771104.40654313,34038343.1564974,2012-08-01
"33",28528430.9902989,6155574.45694036,34684005.4472392,2012-09-01
"34",25912827.2036107,5032675.19967519,30945502.4032859,2012-10-01
"35",25191348.7043053,5379474.57557908,30570823.2798844,2012-11-01
"36",32875869.1404243,5743239.25528397,38619108.3957082,2012-12-01
"37",NA,NA,NA,2013-01-01
"38",34961104.0338541,3916700.13935888,38877804.1732129,2013-02-01
"39",24102879.0744289,6627508.0271227,30730387.1015516,2013-03-01
"40",25191627.4651413,6082743.36599632,31274370.8311377,2013-04-01
"41",NA,NA,NA,2013-05-01
"42",27278782.9149409,5500227.39838408,32779010.313325,2013-06-01
"43",25709633.5293433,4480245.66135393,30189879.1906972,2013-07-01
"44",29179086.9695629,4092299.88161516,33271386.8511781,2013-08-01
"45",28442673.6164659,3938498.90025205,32381172.5167179,2013-09-01
"46",26173712.3884602,2963855.60889599,29137567.9973562,2013-10-01
"47",26306215.2363108,3130531.10924836,29436746.3455592,2013-11-01
"48",20068485.9404761,2522690.66897481,22591176.6094509,2013-12-01
"49",20357754.1927801,2811320.75023942,23169074.9430195,2014-01-01
"50",28856295.2224406,4705475.0870085,33561770.3094491,2014-02-01
"51",NA,NA,NA,2014-03-01
"52",26285580.1219556,4990475.83716391,31276055.9591195,2014-04-01
"53",28591936.9176252,5154577.35414714,33746514.2717723,2014-05-01
"54",30941944.9824203,2277049.41092943,33218994.3933497,2014-06-01
"55",34084507.4408596,2045720.194175,36130227.6350346,2014-07-01
"56",31247918.2328484,2087528.53057094,33335446.7634194,2014-08-01
"57",30103224.2030889,1326303.66624495,31429527.8693338,2014-09-01
"58",35123914.1019732,1520723.145125,36644637.2470982,2014-10-01
"59",NA,NA,NA,2014-11-01
"60",28871929.330431,1288162.24427838,30160091.5747094,2014-12-01
"61",29292950.397812,1376463.2960159,30669413.6938279,2015-01-01
"62",NA,NA,NA,2015-02-01
"63",27572015.7903142,1756364.15240686,29328379.942721,2015-03-01
"64",30080371.2244769,1573179.78323774,31653551.0077147,2015-04-01
"65",30749532.5803444,1788422.72994466,32537955.3102891,2015-05-01
"66",35458244.3833006,2193355.7269033,37651600.1102039,2015-06-01
"67",34377505.636445,1695534.7328222,36073040.3692672,2015-07-01
"68",NA,NA,NA,2015-08-01
"69",33312391.0674602,1284260.41282412,34596651.4802844,2015-09-01
"70",30889531.863775,1222763.92192005,32112295.785695,2015-10-01
"71",NA,NA,NA,2015-11-01
"72",32861001.4233083,1230684.60925006,34091686.0325584,2015-12-01
"73",32675612.3574141,1279937.72716794,33955550.084582,2016-01-01
"74",NA,NA,NA,2016-02-01
"75",29012733.5112448,1483524.90625085,30496258.4174956,2016-03-01
"76",30699973.8951222,1662809.4253916,32362783.3205138,2016-04-01
"77",NA,NA,NA,2016-05-01
"78",32040452.029488,1815330.12850076,33855782.1579887,2016-06-01
"79",33010300.0641395,1558307.68053991,34568607.7446794,2016-07-01
"80",32997316.6929711,1284798.03183282,34282114.724804,2016-08-01
"81",27609973.0342308,1079411.83293602,28689384.8671668,2016-09-01
"82",29832612.0570288,1117066.20166581,30949678.2586946,2016-10-01
"83",NA,NA,NA,2016-11-01
"84",27417872.5131952,953289.833986404,28371162.3471816,2016-12-01
"85",NA,NA,NA,2017-01-01
"86",28961096.9349223,1186444.78159866,30147541.7165209,2017-02-01
"87",24158142.2181518,1522314.76252151,25680456.9806733,2017-03-01
"88",23085189.7597426,2150346.65077586,25235536.4105185,2017-04-01
"89",27914910.0537095,2783933.24996021,30698843.3036697,2017-05-01
"90",26303500.6640698,3098074.82051908,29401575.4845889,2017-06-01
"91",31627400.7153451,2553310.41006729,34180711.1254124,2017-07-01
"92",29658903.9645219,2562738.74992552,32221642.7144474,2017-08-01
"93",29642890.2492503,2030200.79145787,31673091.0407082,2017-09-01
"94",28123028.7847789,2297007.19432522,30420035.9791041,2017-10-01
"95",26250615.4323714,2312998.08618449,28563613.5185559,2017-11-01
"96",NA,NA,NA,2017-12-01
"97",28777865.6973422,3185366.22504261,31963231.9223848,2018-01-01
"98",NA,NA,NA,2018-02-01
"99",NA,NA,NA,2018-03-01
