"","YrMo","LakeElev_m"
"1","2010_1",1278.49024493548
"2","2010_10",1278.23647435484
"3","2010_11",1278.2528254
"4","2010_12",1278.36586687097
"5","2010_2",1278.58468728571
"6","2010_3",1278.72218790323
"7","2010_4",1278.7493446
"8","2010_5",1278.77252906452
"9","2010_6",1278.8187374
"10","2010_7",1278.69613241935
"11","2010_8",1278.48316570968
"12","2010_9",1278.3238438
"13","2011_1",1278.53095048387
"14","2011_10",1279.40326841935
"15","2011_11",1279.4444918
"16","2011_12",1279.49824803226
"17","2011_2",1278.63236671429
"18","2011_3",1278.80753190323
"19","2011_4",1279.060139
"20","2011_5",1279.32185732258
"21","2011_6",1279.6345854
"22","2011_7",1279.65212287097
"23","2011_8",1279.54514790323
"24","2011_9",1279.414723
"25","2012_1",1279.55704493548
"26","2012_10",1278.97969474194
"27","2012_11",1278.9896286
"28","2012_12",1279.03013422581
"29","2012_2",1279.68972617241
"30","2012_3",1279.73097758065
"31","2012_4",1279.7578262
"32","2012_5",1279.71554093548
"33","2012_6",1279.564583
"34","2012_7",1279.37593474194
"35","2012_8",1279.2033786129
"36","2012_9",1279.074871
"37","2013_1",1279.06366222581
"38","2013_10",1278.43075977419
"39","2013_11",1278.4122358
"40","2013_12",1278.42898996774
"41","2013_2",1279.116019
"42","2013_3",1279.199839
"43","2013_4",1279.2251374
"44","2013_5",1279.13897732258
"45","2013_6",1278.9954198
"46","2013_7",1278.818839
"47","2013_8",1278.61894919355
"48","2013_9",1278.5088574
"49","2014_1",1278.47362841935
"50","2014_10",1278.14768906452
"51","2014_11",1278.1200342
"52","2014_12",1278.15958609677
"53","2014_2",1278.546805
"54","2014_3",1278.6811873871
"55","2014_4",1278.682695
"56","2014_5",1278.66447254839
"57","2014_6",1278.5525454
"58","2014_7",1278.39919822581
"59","2014_8",1278.28042454839
"60","2014_9",1278.177743
"61","2015_1",1278.22929680645
"62","2015_10",1277.901391
"63","2015_11",1277.8583126
"64","2015_12",1277.87799022581
"65","2015_2",1278.30960528571
"66","2015_3",1278.33823822581
"67","2015_4",1278.3214054
"68","2015_5",1278.35495306452
"69","2015_6",1278.410407
"70","2015_7",1278.24994454839
"71","2015_8",1278.08692570968
"72","2015_9",1277.9429454
"73","2016_1",1277.96667719355
"74","2016_10",1277.81290067742
"75","2016_11",1277.804871
"76","2016_12",1277.76580416129
"77","2016_2",1278.08017196552
"78","2016_3",1278.23519616129
"79","2016_4",1278.336239
"80","2016_5",1278.39447874194
"81","2016_6",1278.3645854
"82","2016_7",1278.19832519355
"83","2016_8",1278.00669448387
"84","2016_9",1277.8639006
"85","2017_1",1277.76875383871
"86","2017_10",1278.178759
"87","2017_11",1278.224479
"88","2017_12",1278.26921577419
"89","2017_2",1277.94362757143
"90","2017_3",1278.31936029032
"91","2017_4",1278.589223
"92","2017_5",1278.71854996774
"93","2017_6",1278.685743
"94","2017_7",1278.52092158065
"95","2017_8",1278.32722609677
"96","2017_9",1278.198063
"97","2018_1",1278.34787383871
"98","2018_2",1278.404819
