UID,SITE_ID,STATE,DATE_COL,BATCH_ID,PARAMETER,PARAMETER_2,PARAMETER_NAME,RESULT,UNITS,MDL,MRL,PQL,DATE_ANALYZED,HOLDING_TIME,QACODE,LAB_SAMPLE_ID,SAMPLE_ID,METHOD
59,NCCA10-1111,CA,40360,100714.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.4075,mg N/L,0.015,0.03,,40373,13,,1010242,568671,
59,NCCA10-1111,CA,40360,100714.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.06125375,mg P/L,0.0012,0.0024,,40373,13,,1010242,568671,
59,NCCA10-1111,CA,40360,100902,CHLA,Chlorophyll_a_ugL,Chlorophyll A,3.34,ug/L,0.09,,,40423,63,J01,1010242,568672,
60,NCCA10-1119,CA,40360,100714.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.23,mg N/L,0.015,0.03,,40373,13,,1010239,568881,
60,NCCA10-1119,CA,40360,100714.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.03737875,mg P/L,0.0012,0.0024,,40373,13,,1010239,568881,
60,NCCA10-1119,CA,40360,100709,CHLA,Chlorophyll_a_ugL,Chlorophyll A,2.45,ug/L,0.09,,,40368,8,J01,1010239,568882,
61,NCCA10-1123,CA,40360,100714.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.33625,mg N/L,0.015,0.03,,40373,13,,1010240,568211,
61,NCCA10-1123,CA,40360,100714.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.0481,mg P/L,0.0012,0.0024,,40373,13,,1010240,568211,
61,NCCA10-1123,CA,40360,100709,CHLA,Chlorophyll_a_ugL,Chlorophyll A,3.82,ug/L,0.09,,,40368,8,J01,1010240,568212,
62,NCCA10-1127,CA,40360,100714.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.23875,mg N/L,0.015,0.03,,40373,13,,1010238,568271,
62,NCCA10-1127,CA,40360,100714.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.04425125,mg P/L,0.0012,0.0024,,40373,13,,1010238,568271,
62,NCCA10-1127,CA,40360,100709,CHLA,Chlorophyll_a_ugL,Chlorophyll A,6.13,ug/L,0.09,,,40368,8,J01,1010238,568272,
63,NCCA10-1133,NC,40338,100621.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.09063625,mg P/L,0.0012,0.0024,,40350,12,,1010059,567471,
